Year,Field,Company,Hybrid,Yield,Moisture,Erect,DoP,DoH,RM,Stand,PPA,IncRate&Exp/Reg
1934,DeKalb,Illinois,221,38.1,50.7,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,294,38.9,49.4,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,304,33.7,47.6,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,366,46.3,44.4,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,368,46.8,47.7,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,373,34.6,50.6,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,465,38.5,46,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Webb,Favorite,16.5,46,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,DeKalb,Woodford,Original Krug,22.9,37.3,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,Galesburg,Doubet,Yellow Dent,51.8,17.2,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Funk,206,55.8,17.9,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Funk,208,59.2,15.4,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Funk,214,54.7,16.4,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Funk,229,61.3,15.9,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Funk,176A,51.9,17.3,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Hi-Bred,13,61.7,16.1,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Hi-Bred,306,51.8,16.9,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Illinois,168,51.7,15.4,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,172,57.8,16.4,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,221,56.7,16.1,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,294,51,16.4,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,314,63.4,16.5,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,360,63.6,17.2,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,368,63.3,15,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,372,57.9,15.6,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,373,54.3,16.7,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,391,65.8,17,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,396,62.7,17.2,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Illinois,905,58.1,16.1,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Iowa,13,66.6,15.6,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,McKeighan,Yellow Dent,52.9,16.2,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Morgan,MW104,43.9,16.1,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Morgan,MW105,47.9,15.8,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Morgan,MW106,52.8,15.9,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Morgan,MW120,50.3,15.9,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Morgan,MW138R,51.2,16.6,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Mountjoy,Utility Dent,54.4,18.1,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Pfister,4857,57.4,16.7,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Sommer,Yellow Dent,58.3,17.6,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Station,Yellow Dent,54.1,16.6,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Stiegelmeier,2,60.8,16.9,NaN,4-May,19-Nov,NaN,NaN,NaN,E
1934,Galesburg,Stiegelmeier,Yellow Dent,48.7,18.5,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Sullivan,Yellow Dent,50.3,17.6,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Galesburg,Woodford Co. Agr. Assoc.,Original Krug,56.2,16.1,NaN,4-May,19-Nov,NaN,NaN,NaN,R
1934,Urbana - South-Central Rotation,Griffin,Yellow Dent,30.4,17.6,NaN,15-May,12-Dec,NaN,NaN,NaN,R
1934,Urbana - South-Central Rotation,Illinois,128,51.7,16.2,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,164,50.7,16.4,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,168,50,16.8,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,172,62.4,16.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,221,54.6,16.7,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,294,47,18.7,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,304,53.2,17.4,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,314,47.6,17,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,360,60,17.5,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,369,57,18.3,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,372,51.9,16.7,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,384,53.1,17.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,385,51.9,21,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,391,58.8,18,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,392,52.6,18.1,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,396,56.4,17.8,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,439,44.3,17.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,465,54.1,17.8,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,503,61.1,17.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,508,52.7,17,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,512,52,18.8,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,514,57.4,18.3,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,515,58,17.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,542,57.3,17.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,912,56.1,16.7,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,R4226,45,17.2,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Illinois,R5675,56,17.7,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Kansas,3,65.7,18.1,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Kansas,4,57.4,17.6,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Missouri,8,47,19.6,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Missouri,11,53.6,17.7,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Missouri,15,37.6,20.5,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Missouri,39,48.2,19.9,NaN,15-May,12-Dec,NaN,NaN,NaN,E
1934,Urbana - South-Central Rotation,Station,Yellow Dent,45.1,18.3,NaN,15-May,12-Dec,NaN,NaN,NaN,R
1934,Urbana - South-Central Rotation,Woodford Co. Agr. Assoc.,Original Krug,43.6,18,NaN,15-May,12-Dec,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Canterbury,Yellow Dent,50.5,41,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Champion,White Pearl,42.7,41.1,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Hi-Bred,9,56.2,45.5,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Hi-Bred,12,67.6,32.6,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,172,74.6,30.8,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,213,76.5,31.5,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,231,53.3,39.1,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,294,52.2,33.9,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,314,65.1,33.2,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,360,70.3,30.4,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,369,76.9,30.4,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,372,71.7,31.9,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,384,77.5,30.6,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,391,73.7,34.7,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,392,75.8,32.8,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,395,93.5,31.2,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,396,77.1,32.3,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,518,75.1,36.3,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,524,73.6,33.2,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,912,70.8,32.5,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,J4211,64.1,32.3,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,R4226,62.8,31.2,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Illinois,R5678,64.1,31.9,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,McKeighan,Yellow Dent,59.6,34.9,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Mountjoy,Utility Dent,51.3,31.9,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Nebraska,238,62.9,31,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Nebraska,252,52.4,35.2,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Nebraska,362,64.2,33,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Ohio,1,60.5,26.6,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Ohio,2,61.6,33.5,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Pfister,4857,72.1,30.8,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Sommer,Yellow Dent,50.3,33.7,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,Station,Yellow Dent,64.4,32.5,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1934,Urbana - Southwest Rotation,"U.S. Dept. Agr., Div. Cereal Crops and Diseases",B.P.I.,67.1,31.7,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Wood,Hybrid,56.7,22.2,NaN,14-May,6-Nov,NaN,NaN,NaN,E
1934,Urbana - Southwest Rotation,Woodford Co. Agr. Assoc.,Original Krug,53.9,31.4,NaN,14-May,6-Nov,NaN,NaN,NaN,R
1935,Alhambra,Champion,White Pearl,53.9,25.8,39.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Champion,White Pearl X B 103,63.7,23.2,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Champion,White Pearl X Indiana 33,62,20.1,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Champion,White Pearl X Pride of Saline 29,56.5,26.8,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Champion,White Pearl X Pride of Saline 47,51.8,19.2,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Community,Composite (Barbak),47.3,22.2,34,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Community,Composite (Semesan Jr.),58.7,26.2,32,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Community,Composite (untreated),48.2,27,30.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Golden Beauty,X 4211,51,21.8,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Golden Beauty,X 5110,50,20.6,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Golden Beauty,X 5677,52.7,22.4,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Golden Beauty,X 5680,58.5,27.5,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Haller,Blackhawk,51.6,26.8,26.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Illinois,51,47.6,21.8,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,54,47.2,22.9,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,465,56.2,19,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,508,58.6,21.4,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,538,46.7,26.2,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,546,49.5,21.4,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,559,51,21.2,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Illinois,710,53.5,23.4,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Indiana,815,43.9,23.4,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Indiana,823,53,23.9,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Indiana,835,66.5,21,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Indiana,880,53.7,21.4,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Isenberg,St. Charles White,57.9,22.9,32,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Kansas,Pride of Salline,49.8,28.2,30,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Kiefer,Leaming,47.6,28.2,33,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Missouri,8,48.5,25.9,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Missouri,11,55.3,23.6,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Missouri,19,70,24.2,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Moore,Yellow Dent,58.7,22,35,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Station,Yellow Dent,50.4,20.3,24.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Waddell,Big Democrat,56.4,23.8,30.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Waddell,Golden Beauty,55.8,26.1,34,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Waddell,Golden Dent,53.7,23.2,34,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Waddell,Utility White Dent,45.8,25.4,32,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Waddell,Utility Yellow Dent,52.5,25.8,30.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Waddell,Yellow Pearl,50.5,28.6,38.5,7-Jun,3-Dec,NaN,NaN,NaN,R
1935,Alhambra,Wood,Early White Dent ,48.6,26.6,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Wood,Medium White Dent,39.3,28,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1935,Alhambra,Wood,Medium Yellow Dent,44.9,21.2,NaN,7-Jun,3-Dec,NaN,NaN,NaN,E
1936,Alhambra,Champion,White Pearl,5.3,13.9,47,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Funk,207,9.4,11.7,66.5,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Funk,211,11.2,12.6,73.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Funk,B-49,8.4,12.6,65.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Funk,B-50,16.8,13.3,61,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Helm,Yellow Dent (Barbak),5.3,13.2,49.5,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Helm,Yellow Dent (Semesan Jr),5,13.4,46,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Helm,Yellow Dent (untreated),5,13.8,41.5,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Illinois,10,11.2,12.5,66,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,19,8.9,11.9,69.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,28,13.3,12.5,76,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,37,10.6,13.5,70.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,45,5.2,13.1,78,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,48,11.1,12.3,84,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,66,12,12.3,78,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,70,10.6,12.1,72,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,77,6,12.4,77.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,78,10.1,13.6,80.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,89,12.9,13.2,66.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,95,11.4,13,69,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,96,7.6,13.2,65.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Illinois,905,14.1,12.6,82.5,19-May,19-Oct,NaN,NaN,NaN,E
1936,Alhambra,Moore,Yellow Dent,7.4,13.8,55,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Shuman,Golden Beauty,7.5,12.8,40,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Station,Station Yellow Dent,5.8,13.5,57,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Unknown,Blackhawk,8,13.2,34,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Unknown,Leaming (Barbak),2.5,15.9,44.5,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Unknown,Leaming (Semesan Jr),1.8,16.8,39,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Unknown,Leaming (untreated),2.9,15.8,43,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Unknown,Pride of Salline,6.6,13.5,47.5,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Unknown,St. Charles White,10.6,14,41,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Waddell,Golden Beauty,6.5,14.2,53,19-May,19-Oct,NaN,NaN,NaN,R
1936,Alhambra,Waddell,Golden Dent,5.9,12.6,51.5,19-May,19-Oct,NaN,NaN,NaN,R
1937,Alhambra,Beckerle,Yellow Dent,43.3,16.3,28,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Champion,White Pearl,57.3,22.8,24,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,825,57.7,14.6,48,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,834,50.6,14.2,35,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,835,48.5,17.9,33,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,870,54.6,14.9,31,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,871,50.2,15.4,40,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,875,49.8,13.5,48,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,889,62.6,15.6,49,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,DeKalb,805W,52.8,20.4,15,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,DeKalb,807W,54.6,16,23,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,DeKalb,808W,71.1,15.6,28,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,DeKalb,811W,54.7,18.1,34,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,DeKalb,812W,63,21,24,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,DeKalb,815W,53.5,19.1,18,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,Eversole,White Dent,51.1,17.6,14,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,235,45.8,16.1,32,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,244,53.7,14.7,30,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,B50,61.2,14.9,25,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G45,57.4,14.4,29,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G49,56.7,15.6,32,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G52,46.8,20,37,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G54,40.6,17.8,8.7,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G56,50.4,14.7,41,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G62,53.4,19.6,32,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G86,63.2,17.4,35,26-May,27-Oct,NaN,NaN,NaN,E
1937,Alhambra,Funk,G87,57.9,16.4,34.5,26-May,27-Oct,NaN,NaN,NaN,R
1937,Alhambra,Funk,G90,59.2,17.2,23,26-May,27-Oct,NaN,NaN,NaN,R
